SA3_code,YOT,n_tests
10102,2015,1
10102,2017,2
10102,2018,1
10102,2020,1
10102,2021,3
10102,2023,6
10102,2024,1
10103,2015,1
10103,2017,1
10103,2022,1
10103,2023,1
10104,2014,7
10104,2015,11
10104,2016,13
10104,2017,11
10104,2018,12
10104,2019,16
10104,2020,17
10104,2021,23
10104,2022,23
10104,2023,39
10104,2024,53
10105,2016,3
10105,2019,1
10105,2020,2
10105,2021,4
10105,2022,5
10105,2023,6
10105,2024,1
10106,2021,1
10106,2022,2
10106,2023,1
10106,2024,2
10201,2014,18
10201,2015,35
10201,2016,31
10201,2017,46
10201,2018,29
10201,2019,21
10201,2020,38
10201,2021,28
10201,2022,33
10201,2023,56
10201,2024,61
10202,2014,2
10202,2015,9
10202,2016,17
10202,2017,15
10202,2018,17
10202,2019,17
10202,2020,13
10202,2021,11
10202,2022,21
10202,2023,31
10202,2024,23
10301,2016,1
10301,2018,3
10301,2022,2
10301,2023,3
10301,2024,2
10302,2018,3
10302,2019,1
10302,2021,2
10302,2022,3
10302,2023,3
10302,2024,2
10303,2014,1
10303,2015,1
10303,2018,4
10303,2019,4
10303,2022,1
10303,2023,2
10303,2024,3
10304,2014,1
10304,2017,2
10304,2018,1
10304,2020,3
10304,2022,1
10304,2023,4
10304,2024,3
10401,2014,2
10401,2015,4
10401,2016,7
10401,2017,5
10401,2018,4
10401,2019,4
10401,2020,6
10401,2021,6
10401,2022,8
10401,2023,6
10401,2024,4
10402,2014,24
10402,2015,28
10402,2016,30
10402,2017,46
10402,2018,61
10402,2019,65
10402,2020,52
10402,2021,68
10402,2022,75
10402,2023,119
10402,2024,148
10501,2018,2
10501,2020,1
10501,2022,2
10501,2023,2
10501,2024,2
10503,2014,1
10503,2015,1
10503,2016,1
10503,2017,2
10503,2018,1
10503,2019,1
10503,2020,3
10503,2021,4
10503,2022,1
10503,2023,2
10503,2024,3
10601,2014,1
10601,2015,3
10601,2016,3
10601,2017,4
10601,2018,4
10601,2019,11
10601,2020,8
10601,2021,9
10601,2022,4
10601,2023,5
10601,2024,7
10602,2015,1
10602,2016,3
10602,2017,1
10602,2018,7
10602,2019,8
10602,2020,6
10602,2021,2
10602,2022,3
10602,2023,2
10602,2024,2
10603,2015,3
10603,2016,4
10603,2017,3
10603,2018,2
10603,2019,5
10603,2020,8
10603,2021,4
10603,2022,4
10603,2023,4
10603,2024,6
10604,2014,3
10604,2016,1
10604,2019,3
10604,2020,1
10604,2021,2
10604,2023,4
10604,2024,2
10701,2016,1
10701,2017,1
10701,2019,1
10701,2020,2
10701,2022,1
10701,2023,1
10701,2024,3
10702,2014,3
10702,2015,3
10702,2016,2
10702,2017,4
10702,2018,2
10702,2019,4
10702,2020,4
10702,2021,5
10702,2022,4
10702,2023,14
10702,2024,7
10703,2015,2
10703,2016,1
10703,2017,3
10703,2018,7
10703,2019,5
10703,2021,1
10703,2022,3
10703,2023,7
10703,2024,10
10704,2014,1
10704,2017,2
10704,2018,1
10704,2019,5
10704,2020,4
10704,2021,3
10704,2022,7
10704,2023,6
10704,2024,7
10801,2016,1
10801,2017,8
10801,2018,1
10801,2019,2
10801,2020,1
10801,2022,2
10801,2023,1
10801,2024,5
10802,2014,4
10802,2015,7
10802,2016,11
10802,2017,17
10802,2018,8
10802,2019,12
10802,2020,5
10802,2021,14
10802,2022,23
10802,2023,23
10802,2024,33
10804,2014,4
10804,2015,6
10804,2016,5
10804,2017,7
10804,2018,8
10804,2019,12
10804,2020,8
10804,2021,7
10804,2022,5
10804,2023,17
10804,2024,12
10805,2015,4
10805,2016,6
10805,2017,4
10805,2018,4
10805,2019,4
10805,2021,2
10805,2022,10
10805,2023,9
10805,2024,6
10901,2018,1
10901,2021,1
10901,2024,1
10903,2014,1
10903,2017,1
10903,2020,1
10903,2023,1
11001,2014,4
11001,2015,1
11001,2016,2
11001,2017,2
11001,2018,1
11001,2019,1
11001,2020,1
11001,2021,2
11001,2022,2
11001,2023,1
11001,2024,3
11002,2014,2
11002,2015,3
11002,2017,2
11002,2018,1
11002,2019,4
11002,2020,2
11002,2021,4
11002,2022,1
11002,2023,1
11002,2024,2
11003,2016,1
11003,2017,1
11003,2018,1
11003,2022,1
11004,2014,1
11004,2015,1
11004,2017,2
11004,2018,2
11004,2020,3
11004,2021,4
11004,2022,4
11004,2023,1
11004,2024,2
11101,2014,1
11101,2015,3
11101,2016,4
11101,2017,3
11101,2018,3
11101,2019,6
11101,2020,5
11101,2021,4
11101,2022,3
11101,2023,9
11101,2024,9
11102,2014,8
11102,2015,14
11102,2016,11
11102,2017,13
11102,2018,17
11102,2019,20
11102,2020,23
11102,2021,12
11102,2022,15
11102,2023,25
11102,2024,24
11103,2014,2
11103,2015,3
11103,2016,5
11103,2017,5
11103,2018,7
11103,2019,6
11103,2020,7
11103,2021,7
11103,2022,3
11103,2023,4
11103,2024,6
11201,2014,9
11201,2015,30
11201,2016,37
11201,2017,40
11201,2018,46
11201,2019,38
11201,2020,57
11201,2021,89
11201,2022,60
11201,2023,91
11201,2024,96
11202,2014,10
11202,2015,31
11202,2016,26
11202,2017,38
11202,2018,60
11202,2019,29
11202,2020,54
11202,2021,82
11202,2022,53
11202,2023,80
11202,2024,101
11203,2014,2
11203,2015,2
11203,2016,3
11203,2017,8
11203,2018,7
11203,2019,7
11203,2020,6
11203,2021,9
11203,2022,10
11203,2023,13
11203,2024,9
11302,2014,1
11302,2015,2
11302,2017,2
11302,2019,1
11302,2020,1
11302,2021,2
11302,2022,2
11302,2023,5
11302,2024,5
11303,2015,1
11303,2016,1
11303,2017,2
11303,2019,2
11303,2020,2
11303,2022,1
11303,2023,3
11303,2024,4
11401,2014,12
11401,2015,13
11401,2016,22
11401,2017,33
11401,2018,49
11401,2019,25
11401,2020,24
11401,2021,28
11401,2022,36
11401,2023,47
11401,2024,81
11402,2014,2
11402,2015,1
11402,2016,1
11402,2017,2
11402,2018,2
11402,2019,1
11402,2021,6
11402,2022,1
11402,2023,1
11402,2024,2
11501,2014,5
11501,2015,9
11501,2016,5
11501,2017,7
11501,2018,8
11501,2019,6
11501,2020,3
11501,2021,7
11501,2022,12
11501,2023,11
11501,2024,12
11502,2014,5
11502,2015,8
11502,2016,2
11502,2017,9
11502,2018,7
11502,2019,5
11502,2020,7
11502,2021,12
11502,2022,9
11502,2023,4
11502,2024,10
11503,2014,2
11503,2015,1
11503,2016,1
11503,2017,4
11503,2018,1
11503,2019,1
11503,2020,2
11503,2021,1
11503,2022,1
11503,2024,2
11504,2014,3
11504,2016,1
11504,2017,1
11504,2018,3
11504,2019,1
11504,2020,1
11504,2021,1
11504,2023,2
11504,2024,2
11601,2015,1
11601,2016,1
11601,2017,3
11601,2018,4
11601,2019,1
11601,2020,4
11601,2021,5
11601,2022,1
11601,2023,6
11601,2024,2
11602,2014,4
11602,2015,5
11602,2016,4
11602,2017,5
11602,2018,3
11602,2019,4
11602,2020,4
11602,2021,5
11602,2022,5
11602,2023,7
11602,2024,6
11603,2015,1
11603,2017,1
11603,2018,2
11603,2019,2
11603,2020,1
11603,2021,2
11603,2022,4
11603,2023,5
11603,2024,2
11701,2014,1
11701,2015,4
11701,2018,3
11701,2019,3
11701,2020,2
11701,2021,6
11701,2022,2
11701,2023,2
11701,2024,5
11702,2015,1
11702,2017,4
11702,2018,1
11702,2020,4
11702,2021,1
11702,2022,1
11702,2023,1
11702,2024,2
11703,2014,1
11703,2015,4
11703,2016,7
11703,2017,9
11703,2018,16
11703,2019,16
11703,2020,17
11703,2021,17
11703,2022,9
11703,2023,22
11703,2024,16
11801,2014,3
11801,2015,8
11801,2016,7
11801,2017,10
11801,2018,13
11801,2019,7
11801,2020,8
11801,2021,10
11801,2022,7
11801,2023,11
11801,2024,15
11802,2014,1
11802,2016,2
11802,2017,3
11802,2018,2
11802,2019,6
11802,2020,4
11802,2021,2
11802,2022,6
11802,2023,6
11802,2024,11
11901,2015,1
11901,2017,3
11901,2018,4
11901,2019,3
11901,2020,1
11901,2021,5
11901,2022,2
11901,2023,2
11901,2024,1
11902,2014,1
11902,2015,2
11902,2016,3
11902,2017,3
11902,2018,4
11902,2019,4
11902,2020,1
11902,2021,2
11902,2022,6
11902,2023,2
11902,2024,6
11903,2014,1
11903,2015,2
11903,2017,1
11903,2018,2
11903,2020,2
11903,2021,4
11903,2023,4
11903,2024,6
11904,2016,1
11904,2017,5
11904,2018,1
11904,2019,7
11904,2020,3
11904,2021,3
11904,2022,2
11904,2023,4
11904,2024,3
12001,2014,2
12001,2015,2
12001,2016,2
12001,2017,2
12001,2018,6
12001,2019,7
12001,2020,8
12001,2021,7
12001,2022,7
12001,2023,7
12001,2024,2
12002,2014,1
12002,2015,2
12002,2016,6
12002,2017,4
12002,2018,8
12002,2019,5
12002,2020,7
12002,2021,5
12002,2022,6
12002,2023,13
12002,2024,7
12003,2014,1
12003,2016,2
12003,2017,9
12003,2018,14
12003,2019,8
12003,2020,10
12003,2021,3
12003,2022,10
12003,2023,9
12003,2024,8
12101,2014,10
12101,2015,5
12101,2016,7
12101,2017,13
12101,2018,23
12101,2019,23
12101,2020,12
12101,2021,23
12101,2022,16
12101,2023,26
12101,2024,26
12102,2014,15
12102,2015,10
12102,2016,14
12102,2017,25
12102,2018,23
12102,2019,28
12102,2020,28
12102,2021,25
12102,2022,32
12102,2023,35
12102,2024,56
12103,2014,23
12103,2015,39
12103,2016,44
12103,2017,64
12103,2018,51
12103,2019,45
12103,2020,40
12103,2021,61
12103,2022,61
12103,2023,77
12103,2024,74
12104,2014,8
12104,2015,13
12104,2016,11
12104,2017,20
12104,2018,18
12104,2019,27
12104,2020,17
12104,2021,19
12104,2022,21
12104,2023,26
12104,2024,26
12201,2014,3
12201,2015,6
12201,2016,9
12201,2017,16
12201,2018,8
12201,2019,14
12201,2020,14
12201,2021,9
12201,2022,13
12201,2023,22
12201,2024,20
12202,2014,15
12202,2015,28
12202,2016,35
12202,2017,117
12202,2018,112
12202,2019,103
12202,2020,92
12202,2021,102
12202,2022,102
12202,2023,126
12202,2024,110
12203,2014,25
12203,2015,38
12203,2016,73
12203,2017,104
12203,2018,124
12203,2019,126
12203,2020,100
12203,2021,141
12203,2022,107
12203,2023,149
12203,2024,156
12301,2014,1
12301,2015,1
12301,2018,1
12301,2020,1
12301,2021,1
12301,2022,1
12301,2023,1
12301,2024,2
12302,2014,3
12302,2015,3
12302,2017,2
12302,2018,2
12302,2019,5
12302,2020,3
12302,2021,5
12302,2022,7
12302,2023,7
12302,2024,6
12303,2014,1
12303,2015,1
12303,2016,2
12303,2018,1
12303,2019,1
12303,2020,2
12303,2021,1
12303,2022,3
12303,2023,1
12401,2014,2
12401,2015,7
12401,2016,9
12401,2017,10
12401,2018,4
12401,2019,6
12401,2020,5
12401,2021,14
12401,2022,5
12401,2023,20
12401,2024,14
12402,2014,2
12402,2015,1
12402,2016,1
12402,2017,2
12402,2018,1
12402,2019,2
12402,2020,1
12402,2021,3
12402,2022,5
12402,2023,5
12402,2024,8
12403,2016,2
12403,2017,3
12403,2018,2
12403,2020,3
12403,2021,1
12403,2023,3
12403,2024,6
12404,2014,3
12404,2015,1
12404,2016,1
12404,2018,2
12404,2019,1
12404,2020,2
12404,2022,1
12404,2023,7
12404,2024,6
12501,2014,1
12501,2017,1
12501,2018,2
12501,2019,2
12501,2020,2
12501,2021,1
12501,2022,1
12501,2023,3
12501,2024,2
12502,2015,5
12502,2016,2
12502,2017,8
12502,2018,5
12502,2019,10
12502,2020,2
12502,2021,4
12502,2022,4
12502,2023,7
12502,2024,9
12503,2014,1
12503,2015,2
12503,2016,5
12503,2017,1
12503,2019,4
12503,2020,1
12503,2021,2
12503,2022,5
12503,2023,5
12503,2024,9
12504,2014,1
12504,2016,1
12504,2017,3
12504,2018,2
12504,2021,2
12504,2022,2
12504,2024,2
12601,2014,1
12601,2017,1
12601,2018,1
12601,2019,3
12601,2020,1
12601,2022,2
12601,2023,4
12602,2014,5
12602,2015,8
12602,2016,9
12602,2017,10
12602,2018,14
12602,2019,13
12602,2020,12
12602,2021,13
12602,2022,12
12602,2023,30
12602,2024,24
12701,2015,2
12701,2016,3
12701,2017,1
12701,2018,3
12701,2020,1
12701,2022,2
12701,2023,1
12701,2024,1
12702,2016,4
12702,2017,2
12702,2018,3
12702,2019,4
12702,2020,4
12702,2021,4
12702,2022,6
12702,2023,6
12702,2024,5
12703,2015,1
12703,2017,2
12703,2018,1
12703,2020,1
12703,2021,1
12703,2022,1
12703,2023,5
12703,2024,4
12801,2014,2
12801,2015,2
12801,2016,2
12801,2017,5
12801,2018,2
12801,2019,5
12801,2020,3
12801,2021,3
12801,2022,2
12801,2023,6
12801,2024,5
12802,2014,1
12802,2015,1
12802,2016,2
12802,2017,4
12802,2019,7
12802,2020,1
12802,2021,1
12802,2022,2
12802,2023,6
12802,2024,8
20101,2019,1
20101,2021,2
20101,2023,1
20101,2024,2
20102,2017,1
20102,2019,1
20102,2024,1
20201,2014,1
20201,2016,1
20201,2018,1
20201,2019,4
20201,2021,3
20201,2022,1
20201,2023,1
20201,2024,1
20202,2016,1
20202,2017,2
20202,2018,1
20202,2019,1
20301,2016,1
20301,2017,1
20301,2019,1
20301,2020,1
20301,2023,2
20302,2015,1
20302,2016,2
20302,2017,2
20302,2018,7
20302,2020,3
20302,2021,3
20302,2023,5
20302,2024,1
20303,2017,1
20303,2019,1
20303,2021,3
20303,2022,1
20303,2024,1
20401,2016,1
20401,2023,1
20401,2024,1
20402,2016,1
20402,2018,2
20402,2019,1
20402,2022,1
20402,2023,1
20402,2024,1
20403,2014,1
20403,2016,1
20403,2017,1
20403,2024,1
20501,2018,2
20501,2019,1
20501,2020,1
20501,2023,1
20501,2024,2
20502,2014,2
20502,2016,1
20502,2017,1
20502,2019,1
20502,2022,1
20502,2023,3
20502,2024,8
20504,2017,1
20504,2018,2
20504,2019,1
20504,2020,2
20504,2021,1
20504,2022,1
20504,2023,1
20504,2024,3
20505,2016,1
20505,2018,1
20505,2019,2
20505,2020,1
20601,2014,2
20601,2016,2
20601,2017,1
20601,2019,2
20601,2020,2
20601,2023,2
20601,2024,1
20602,2014,1
20602,2015,1
20602,2016,1
20602,2019,1
20603,2016,1
20603,2019,1
20603,2024,2
20604,2014,3
20604,2015,2
20604,2016,1
20604,2017,1
20604,2018,2
20604,2019,1
20604,2020,2
20604,2021,3
20604,2022,1
20604,2023,4
20604,2024,3
20605,2016,1
20605,2017,2
20605,2018,2
20605,2019,1
20605,2020,1
20605,2021,2
20605,2022,3
20605,2023,2
20605,2024,2
20606,2017,2
20606,2021,2
20606,2022,5
20606,2023,2
20606,2024,3
20607,2014,1
20607,2015,2
20607,2016,2
20607,2017,3
20607,2019,3
20607,2020,1
20607,2022,2
20607,2023,4
20607,2024,2
20701,2014,2
20701,2015,1
20701,2016,1
20701,2017,3
20701,2019,4
20701,2020,2
20701,2021,3
20701,2022,5
20701,2023,4
20701,2024,3
20702,2015,1
20702,2018,1
20702,2019,2
20702,2020,2
20702,2021,2
20702,2022,1
20702,2023,2
20702,2024,1
20703,2014,1
20703,2018,2
20703,2019,2
20703,2020,1
20703,2021,2
20703,2022,3
20703,2023,2
20703,2024,2
20801,2016,1
20801,2017,2
20801,2019,3
20801,2020,2
20801,2021,3
20801,2023,4
20802,2014,3
20802,2016,1
20802,2018,2
20802,2019,3
20802,2020,3
20802,2021,1
20802,2022,2
20802,2023,4
20802,2024,5
20803,2015,1
20803,2017,4
20803,2018,4
20803,2019,1
20803,2020,1
20803,2022,1
20803,2023,4
20803,2024,2
20804,2016,1
20804,2017,1
20804,2019,1
20804,2022,2
20804,2023,3
20901,2014,3
20901,2015,4
20901,2016,1
20901,2017,2
20901,2018,1
20901,2019,2
20901,2020,2
20901,2022,1
20901,2024,2
20902,2015,2
20902,2017,1
20902,2020,4
20902,2022,2
20902,2024,3
20903,2016,2
20903,2017,2
20903,2018,1
20903,2020,1
20903,2021,2
20903,2022,1
20903,2023,1
20903,2024,2
20904,2014,3
20904,2015,6
20904,2017,1
20904,2018,1
20904,2019,1
20904,2020,1
20904,2021,2
20904,2022,1
20904,2023,1
20904,2024,2
21001,2018,1
21001,2019,1
21001,2020,1
21001,2022,2
21001,2023,2
21002,2020,2
21002,2023,1
21002,2024,1
21003,2019,1
21003,2022,1
21003,2023,3
21003,2024,1
21005,2018,1
21005,2019,1
21005,2020,1
21005,2021,3
21005,2022,1
21005,2023,2
21005,2024,2
21101,2014,1
21101,2015,1
21101,2017,4
21101,2018,3
21101,2019,2
21101,2020,1
21101,2021,1
21101,2023,3
21101,2024,2
21102,2015,1
21102,2017,1
21102,2018,3
21102,2019,2
21102,2020,2
21102,2022,1
21102,2024,1
21103,2016,2
21103,2017,4
21103,2018,2
21103,2019,1
21103,2021,3
21103,2022,3
21103,2023,2
21104,2016,1
21104,2021,1
21104,2023,1
21104,2024,2
21105,2014,2
21105,2016,1
21105,2017,2
21105,2018,3
21105,2019,4
21105,2020,2
21105,2021,3
21105,2022,5
21105,2023,2
21105,2024,6
21201,2017,1
21201,2018,1
21201,2019,1
21201,2020,1
21201,2022,2
21201,2024,2
21202,2016,2
21202,2017,2
21202,2019,3
21202,2020,3
21202,2021,2
21202,2022,2
21202,2023,6
21202,2024,1
21203,2019,1
21203,2020,1
21203,2023,2
21203,2024,1
21204,2014,1
