SA3_code,YOT,n_tests
21204,2015,1
21204,2016,1
21204,2018,3
21204,2019,1
21204,2020,3
21204,2022,3
21204,2023,4
21204,2024,3
21205,2014,2
21205,2015,1
21205,2017,1
21205,2018,2
21205,2019,3
21205,2020,4
21205,2021,1
21205,2022,3
21205,2023,3
21205,2024,1
21301,2014,1
21301,2019,2
21301,2020,1
21301,2022,1
21301,2024,1
21302,2014,1
21302,2019,2
21302,2021,2
21302,2024,1
21303,2015,1
21303,2016,1
21303,2017,2
21303,2018,1
21303,2019,1
21303,2022,1
21303,2023,1
21303,2024,1
21304,2015,1
21304,2017,2
21304,2019,1
21304,2021,2
21304,2022,2
21304,2023,2
21305,2017,2
21305,2018,3
21305,2019,2
21305,2020,1
21305,2021,1
21305,2022,3
21305,2023,2
21401,2014,1
21401,2015,3
21401,2017,1
21401,2018,2
21401,2019,5
21401,2020,1
21401,2021,3
21401,2022,3
21401,2023,8
21401,2024,3
21402,2014,1
21402,2015,3
21402,2016,1
21402,2017,3
21402,2018,1
21402,2019,2
21402,2020,3
21402,2021,1
21402,2022,1
21402,2023,4
21402,2024,4
21501,2016,1
21501,2022,1
21501,2023,1
21502,2015,1
21502,2016,1
21502,2022,1
21502,2023,2
21601,2014,1
21601,2017,1
21601,2018,1
21601,2019,1
21603,2017,3
21603,2018,2
21603,2019,1
21603,2020,1
21603,2022,1
21603,2024,1
21703,2020,2
21703,2021,1
21703,2024,1
21704,2018,1
21704,2021,1
21704,2022,1
21704,2024,1
30101,2014,9
30101,2015,6
30101,2016,3
30101,2017,6
30101,2018,3
30101,2019,5
30101,2020,2
30101,2021,4
30101,2022,1
30101,2023,4
30101,2024,5
30102,2014,3
30102,2015,11
30102,2016,4
30102,2017,9
30102,2018,7
30102,2019,4
30102,2020,2
30102,2021,8
30102,2022,3
30102,2023,6
30102,2024,7
30103,2014,4
30103,2015,2
30103,2016,4
30103,2017,4
30103,2019,3
30103,2020,2
30103,2021,7
30103,2022,3
30103,2023,4
30103,2024,9
30201,2014,4
30201,2015,1
30201,2016,2
30201,2017,2
30201,2018,2
30201,2019,7
30201,2020,4
30201,2021,4
30201,2022,4
30201,2024,1
30202,2014,2
30202,2015,1
30202,2016,1
30202,2017,2
30202,2018,2
30202,2019,1
30202,2020,3
30202,2021,1
30202,2022,1
30202,2023,2
30202,2024,3
30203,2014,1
30203,2017,2
30203,2019,2
30203,2020,2
30203,2024,2
30204,2014,2
30204,2015,4
30204,2016,4
30204,2017,4
30204,2018,3
30204,2019,8
30204,2020,4
30204,2021,3
30204,2023,1
30204,2024,3
30302,2014,7
30302,2015,7
30302,2016,3
30302,2017,4
30302,2018,6
30302,2019,2
30302,2020,4
30302,2021,2
30302,2022,2
30302,2023,3
30302,2024,5
30303,2015,1
30303,2016,1
30303,2017,1
30303,2020,1
30303,2022,5
30303,2023,1
30303,2024,2
30304,2014,4
30304,2015,4
30304,2016,1
30304,2017,4
30304,2018,9
30304,2019,2
30304,2020,5
30304,2021,2
30304,2022,1
30304,2023,4
30304,2024,2
30305,2014,1
30305,2015,2
30305,2019,1
30305,2021,1
30305,2022,2
30305,2023,2
30401,2014,4
30401,2015,5
30401,2016,2
30401,2017,2
30401,2018,2
30401,2019,2
30401,2020,2
30401,2021,5
30401,2022,1
30401,2023,4
30401,2024,3
30402,2014,13
30402,2015,15
30402,2016,5
30402,2017,8
30402,2018,5
30402,2019,10
30402,2020,4
30402,2021,6
30402,2022,5
30402,2023,10
30402,2024,12
30403,2014,7
30403,2015,3
30403,2017,3
30403,2018,3
30403,2019,3
30403,2020,2
30403,2021,1
30403,2022,2
30403,2023,2
30403,2024,4
30404,2014,13
30404,2015,7
30404,2016,6
30404,2017,9
30404,2018,9
30404,2019,13
30404,2020,7
30404,2021,8
30404,2022,4
30404,2023,8
30404,2024,14
30501,2014,3
30501,2015,4
30501,2016,4
30501,2017,6
30501,2018,3
30501,2019,10
30501,2020,7
30501,2021,2
30501,2022,3
30501,2023,4
30501,2024,8
30502,2014,5
30502,2015,9
30502,2016,5
30502,2017,8
30502,2018,4
30502,2019,2
30502,2020,4
30502,2021,4
30502,2022,10
30502,2023,5
30502,2024,11
30503,2014,5
30503,2015,8
30503,2016,4
30503,2017,4
30503,2018,6
30503,2019,4
30503,2020,6
30503,2021,4
30503,2022,7
30503,2023,3
30503,2024,6
30504,2014,6
30504,2015,2
30504,2016,3
30504,2017,3
30504,2018,2
30504,2020,4
30504,2021,1
30504,2022,3
30504,2023,1
30601,2014,5
30601,2015,3
30601,2019,2
30601,2020,3
30601,2021,2
30601,2022,4
30601,2023,3
30601,2024,6
30602,2014,1
30602,2015,2
30602,2016,1
30602,2017,3
30602,2018,2
30602,2019,7
30602,2020,4
30602,2021,6
30602,2022,8
30602,2023,10
30602,2024,26
30603,2014,1
30603,2017,2
30603,2018,2
30603,2020,2
30603,2021,6
30603,2022,4
30603,2023,7
30603,2024,3
30604,2015,1
30604,2018,1
30604,2019,1
30604,2020,1
30604,2023,1
30604,2024,4
30605,2014,1
30605,2015,1
30605,2016,1
30605,2017,3
30605,2018,2
30605,2019,5
30605,2020,6
30605,2021,16
30605,2022,19
30605,2023,22
30605,2024,21
30701,2014,2
30701,2015,3
30701,2016,4
30701,2017,1
30701,2018,3
30701,2019,3
30701,2020,2
30701,2021,4
30701,2022,4
30701,2023,4
30701,2024,2
30702,2014,4
30702,2015,3
30702,2016,2
30702,2017,3
30702,2018,2
30702,2019,2
30702,2020,3
30702,2021,2
30702,2022,1
30702,2023,5
30702,2024,4
30703,2014,4
30703,2015,5
30703,2016,5
30703,2017,1
30703,2018,8
30703,2020,8
30703,2021,6
30703,2022,6
30703,2023,14
30703,2024,10
30801,2014,1
30801,2016,1
30801,2017,1
30801,2018,1
30801,2020,2
30801,2021,4
30801,2022,2
30801,2024,2
30803,2014,5
30803,2015,3
30803,2016,4
30803,2017,3
30803,2018,4
30803,2019,5
30803,2020,9
30803,2021,10
30803,2022,8
30803,2023,3
30803,2024,9
30804,2019,1
30804,2021,2
30804,2022,1
30804,2024,1
30805,2014,2
30805,2015,2
30805,2016,2
30805,2018,4
30805,2019,5
30805,2020,3
30805,2021,4
30805,2022,1
30805,2023,3
30805,2024,1
30901,2015,2
30901,2019,3
30901,2020,5
30901,2021,1
30901,2022,4
30901,2023,2
30901,2024,2
30902,2014,2
30902,2015,1
30902,2016,1
30902,2018,1
30902,2019,4
30902,2020,3
30902,2021,1
30902,2022,1
30902,2023,4
30902,2024,7
30903,2015,3
30903,2017,2
30903,2018,1
30903,2019,2
30903,2020,5
30903,2021,6
30903,2022,3
30903,2023,4
30903,2024,6
30904,2014,4
30904,2015,4
30904,2016,6
30904,2017,9
30904,2018,12
30904,2019,12
30904,2020,13
30904,2021,21
30904,2022,18
30904,2023,23
30904,2024,19
30905,2014,2
30905,2015,2
30905,2016,3
30905,2018,2
30905,2020,1
30905,2021,2
30905,2022,1
30905,2023,1
30905,2024,4
30907,2014,4
30907,2015,7
30907,2016,11
30907,2017,5
30907,2018,10
30907,2019,2
30907,2020,4
30907,2021,4
30907,2022,3
30907,2023,10
30907,2024,10
30908,2015,1
30908,2018,2
30908,2019,1
30908,2020,3
30908,2021,2
30908,2022,3
30908,2023,6
30908,2024,5
30909,2017,1
30909,2018,2
30909,2019,1
30909,2022,2
30909,2023,1
30909,2024,1
30910,2014,2
30910,2015,2
30910,2016,1
30910,2017,2
30910,2018,4
30910,2019,2
30910,2020,6
30910,2021,2
30910,2022,1
30910,2023,3
30910,2024,6
31001,2014,4
31001,2015,3
31001,2016,1
31001,2017,1
31001,2019,2
31001,2020,1
31001,2021,2
31001,2023,1
31001,2024,2
31002,2014,20
31002,2015,12
31002,2016,12
31002,2017,13
31002,2018,10
31002,2019,9
31002,2020,11
31002,2021,9
31002,2022,11
31002,2023,8
31002,2024,16
31003,2014,3
31003,2015,4
31003,2016,2
31003,2017,1
31003,2018,2
31003,2019,1
31003,2020,3
31003,2021,5
31003,2022,2
31003,2023,2
31003,2024,4
31004,2014,3
31004,2015,3
31004,2016,3
31004,2017,3
31004,2018,3
31004,2019,2
31004,2020,2
31004,2021,5
31004,2022,7
31004,2023,5
31004,2024,3
31101,2017,1
31101,2018,1
31101,2023,2
31101,2024,1
31103,2014,1
31103,2015,4
31103,2016,2
31103,2017,2
31103,2018,2
31103,2019,2
31103,2020,2
31103,2021,5
31103,2022,1
31103,2023,1
31103,2024,5
31104,2017,2
31104,2018,3
31104,2020,1
31104,2021,1
31104,2022,2
31104,2023,1
31104,2024,3
31105,2016,1
31105,2017,2
31105,2020,1
31105,2021,3
31105,2023,1
31106,2014,4
31106,2015,4
31106,2016,1
31106,2017,6
31106,2018,1
31106,2019,2
31106,2020,3
31106,2021,3
31106,2022,3
31106,2023,4
31106,2024,5
31201,2017,3
31201,2018,2
31201,2020,1
31201,2021,2
31201,2023,1
31201,2024,5
31202,2014,3
31202,2015,4
31202,2016,2
31202,2017,2
31202,2018,13
31202,2019,2
31202,2020,4
31202,2021,9
31202,2022,5
31202,2023,9
31202,2024,9
31203,2015,1
31203,2018,1
31203,2019,1
31203,2021,3
31203,2023,3
31203,2024,6
31301,2014,10
31301,2015,13
31301,2016,1
31301,2017,2
31301,2018,4
31301,2019,8
31301,2020,7
31301,2021,7
31301,2022,1
31301,2023,3
31301,2024,6
31302,2014,10
31302,2015,2
31302,2017,1
31302,2018,2
31302,2019,1
31302,2020,4
31302,2023,3
31302,2024,1
31303,2014,2
31303,2015,1
31303,2016,1
31303,2017,2
31303,2018,4
31303,2019,4
31303,2020,2
31303,2021,5
31303,2023,1
31303,2024,4
31304,2014,6
31304,2015,8
31304,2016,2
31304,2018,2
31304,2019,4
31304,2020,6
31304,2021,4
31304,2022,3
31304,2023,1
31304,2024,5
31305,2014,8
31305,2015,7
31305,2016,3
31305,2017,1
31305,2018,1
31305,2019,11
31305,2020,5
31305,2021,3
31305,2022,3
31305,2023,6
31305,2024,1
31401,2014,10
31401,2015,3
31401,2016,3
31401,2017,8
31401,2018,5
31401,2019,11
31401,2020,6
31401,2021,5
31401,2022,7
31401,2023,7
31401,2024,7
31402,2014,3
31402,2015,8
31402,2017,2
31402,2019,3
31402,2020,5
31402,2021,2
31402,2022,2
31402,2023,4
31403,2014,5
31403,2015,6
31403,2016,6
31403,2017,4
31403,2018,3
31403,2019,10
31403,2020,4
31403,2021,5
31403,2022,6
31403,2023,7
31403,2024,5
31501,2018,1
31501,2020,4
31501,2021,2
31501,2022,2
31501,2023,3
31501,2024,6
31502,2021,1
31502,2022,1
31502,2023,1
31502,2024,1
31503,2015,2
31503,2016,2
31503,2017,1
31503,2018,2
31503,2020,2
31503,2021,3
31503,2022,2
31503,2024,1
31601,2015,1
31601,2018,1
31601,2019,2
31601,2021,1
31601,2022,3
31601,2023,1
31602,2014,6
31602,2015,8
31602,2016,5
31602,2017,2
31602,2018,2
31602,2019,4
31602,2020,6
31602,2021,6
31602,2022,3
31602,2023,3
31602,2024,4
31603,2014,1
31603,2015,3
31603,2017,1
31603,2018,3
31603,2019,3
31603,2020,5
31603,2021,3
31603,2022,4
31603,2023,4
31603,2024,2
31605,2014,2
31605,2015,1
31605,2016,2
31605,2017,1
31605,2018,1
31605,2019,1
31605,2020,3
31605,2021,5
31605,2022,4
31605,2023,2
31605,2024,2
31606,2014,27
31606,2015,22
31606,2016,34
31606,2017,36
31606,2018,34
31606,2019,36
31606,2020,22
31606,2021,51
31606,2022,32
31606,2023,66
31606,2024,70
31607,2014,4
31607,2015,3
31607,2016,1
31607,2017,2
31607,2018,2
31607,2019,4
31607,2020,4
31607,2021,2
31607,2022,3
31607,2023,2
31607,2024,5
31608,2014,5
31608,2015,11
31608,2016,5
31608,2017,2
31608,2018,5
31608,2019,9
31608,2020,5
31608,2021,8
31608,2022,8
31608,2023,5
31608,2024,8
31701,2014,2
31701,2015,7
31701,2016,4
31701,2017,4
31701,2018,7
31701,2019,4
31701,2020,7
31701,2021,9
31701,2022,4
31701,2023,9
31701,2024,6
31801,2014,1
31801,2017,1
31801,2019,1
31801,2020,1
31801,2021,1
31801,2022,3
31801,2023,2
31801,2024,1
31802,2015,1
31802,2016,3
31802,2017,3
31802,2019,2
31802,2020,3
31802,2021,7
31802,2022,7
31802,2023,11
31802,2024,14
31901,2014,3
31901,2015,1
31901,2017,3
31901,2018,2
31901,2019,5
31901,2020,5
31901,2021,8
31901,2022,3
31901,2023,6
31901,2024,6
31902,2015,2
31902,2016,4
31902,2017,1
31902,2018,2
31902,2019,2
31902,2020,1
31902,2021,1
31902,2022,2
31902,2023,2
31902,2024,5
31903,2014,2
31903,2015,3
31903,2016,4
31903,2017,7
31903,2018,4
31903,2019,5
31903,2020,6
31903,2021,2
31903,2022,2
31903,2023,8
31903,2024,8
31905,2014,2
31905,2015,2
31905,2016,2
31905,2017,2
31905,2018,5
31905,2019,7
31905,2020,8
31905,2021,6
31905,2022,4
31905,2023,8
31905,2024,14
40102,2017,1
40102,2019,1
40102,2020,1
40102,2021,1
40102,2024,2
40106,2021,1
40106,2022,1
40106,2023,1
40106,2024,1
40202,2016,1
40202,2017,1
40202,2022,1
40202,2023,1
40204,2016,2
40204,2018,1
40204,2019,2
40204,2020,1
40301,2019,2
40301,2020,1
40301,2021,1
40301,2024,1
40302,2016,1
40302,2018,1
40302,2023,2
40303,2014,1
40303,2016,1
40303,2019,1
40303,2020,1
40303,2023,1
40304,2017,1
40304,2018,1
40304,2019,1
40304,2020,1
40304,2021,2
40304,2024,1
40602,2019,1
40602,2020,1
40602,2023,1
40701,2021,3
40701,2023,1
40701,2024,1
50101,2018,2
50101,2019,1
50101,2020,2
50102,2019,2
50102,2020,1
50102,2021,2
50102,2022,2
50102,2024,1
50201,2014,1
50201,2020,1
50201,2021,3
50201,2022,1
50201,2024,2
50302,2015,1
50302,2017,1
50302,2018,1
50302,2019,1
50302,2020,2
50302,2021,1
50302,2022,2
50302,2024,1
50401,2019,1
50401,2021,1
50401,2022,1
50403,2018,1
50403,2020,3
50403,2022,2
50403,2024,1
50501,2014,1
50501,2015,1
50501,2020,2
50501,2021,6
50501,2024,1
50502,2015,2
50502,2018,3
50502,2019,2
50502,2021,1
50502,2022,5
50502,2024,4
50503,2020,1
50503,2021,1
50503,2022,5
50503,2023,1
50503,2024,1
50602,2015,2
50602,2017,1
50602,2024,1
50603,2015,1
50603,2017,1
50603,2021,2
50603,2022,4
50603,2024,1
50604,2015,1
50604,2020,1
50604,2021,1
50604,2022,1
50605,2021,1
50605,2022,1
50605,2024,1
50607,2015,1
50607,2021,1
50607,2023,1
50607,2024,1
50701,2014,2
50701,2017,1
50701,2020,2
50701,2022,6
50701,2024,2
50702,2019,1
50702,2021,1
50702,2022,1
50702,2024,1
50704,2015,2
50704,2020,1
50704,2021,4
50704,2024,1
50705,2018,1
50705,2020,2
50705,2021,5
50705,2024,2
50901,2015,2
50901,2017,1
50901,2023,1
50902,2015,2
50902,2020,1
50902,2022,1
50902,2023,1
51103,2014,1
51103,2020,1
51103,2022,1
60102,2015,1
60102,2016,2
60102,2017,3
60102,2019,1
60102,2020,1
60102,2021,2
60102,2022,1
60102,2023,2
60102,2024,2
60103,2016,1
60103,2019,1
60103,2021,1
60103,2024,2
60104,2020,1
60104,2022,1
60104,2024,2
60105,2016,1
60105,2019,3
60105,2020,1
60105,2022,3
60105,2023,1
60105,2024,1
60201,2017,3
60201,2018,1
60201,2019,1
60201,2020,4
60201,2021,3
60201,2022,2
60201,2023,1
60201,2024,1
60203,2019,1
60203,2020,1
60203,2023,1
60302,2016,2
60302,2018,3
60302,2019,1
60302,2021,1
60302,2022,2
60302,2023,2
60302,2024,1
60401,2017,1
60401,2019,1
60401,2024,1
60402,2020,2
60402,2021,2
60402,2022,1
60402,2023,3
60402,2024,4
60403,2017,1
60403,2018,1
60403,2020,1
60403,2023,1
70101,2019,1
70101,2021,2
70101,2022,2
70101,2023,2
70101,2024,4
70102,2017,1
70102,2018,2
70102,2020,2
70102,2021,1
70102,2022,1
70102,2023,5
70102,2024,4
70103,2020,2
70103,2021,3
70103,2022,1
70103,2023,1
70103,2024,1
70104,2015,1
70104,2019,2
70104,2020,1
70104,2021,3
70104,2023,6
70201,2014,1
70201,2016,1
70201,2020,4
70201,2021,3
70201,2022,6
70201,2023,3
70201,2024,4
70202,2014,2
70202,2016,2
70202,2017,1
70202,2020,1
70202,2021,2
70202,2022,1
70202,2023,1
70202,2024,1
70205,2021,2
70205,2023,1
70205,2024,1
80101,2015,2
80101,2017,1
80101,2018,2
80101,2019,1
80101,2020,1
80101,2021,2
80101,2022,3
80101,2023,6
80101,2024,10
80103,2014,1
80103,2015,2
80103,2017,1
80103,2018,1
80103,2019,3
80103,2020,1
80103,2021,2
80103,2023,5
80103,2024,9
80104,2015,1
80104,2017,2
80104,2018,1
80104,2021,1
80104,2022,4
80104,2023,2
80104,2024,5
80105,2014,1
80105,2015,3
80105,2016,2
80105,2017,1
80105,2018,2
80105,2019,3
80105,2020,2
80105,2021,1
80105,2022,3
80105,2023,6
80105,2024,11
80106,2014,1
80106,2015,1
80106,2017,1
80106,2018,3
80106,2019,2
80106,2021,2
80106,2023,2
80106,2024,3
80107,2016,1
80107,2017,1
80107,2018,2
80107,2019,2
80107,2020,1
80107,2021,2
80107,2022,3
80107,2023,9
80107,2024,7
80109,2014,2
80109,2015,2
80109,2017,2
80109,2019,2
80109,2021,1
80109,2022,1
80109,2023,3
80109,2024,3
NA,2015,1
NA,2016,1
NA,2017,1
NA,2018,1
NA,2020,3
NA,2021,3
NA,2022,1
NA,2023,2
NA,2024,5
