SA3_code,first_year,last_year,n_tests_first,n_tests_last,years_testing,intensity_change,intensity_pct_change
10102,2015,2024,1,1,7,0,0
10103,2015,2023,1,1,4,0,0
10104,2014,2024,7,53,11,46,657.1428571428571
10105,2016,2024,3,1,7,-2,-66.66666666666666
10106,2021,2024,1,2,4,1,100
10201,2014,2024,18,61,11,43,238.88888888888889
10202,2014,2024,2,23,11,21,1050
10301,2016,2024,1,2,5,1,100
10302,2018,2024,3,2,6,-1,-33.33333333333333
10303,2014,2024,1,3,7,2,200
10304,2014,2024,1,3,7,2,200
10401,2014,2024,2,4,11,2,100
10402,2014,2024,24,148,11,124,516.6666666666667
10501,2018,2024,2,2,5,0,0
10503,2014,2024,1,3,11,2,200
10601,2014,2024,1,7,11,6,600
10602,2015,2024,1,2,10,1,100
10603,2015,2024,3,6,10,3,100
10604,2014,2024,3,2,7,-1,-33.33333333333333
10701,2016,2024,1,3,7,2,200
10702,2014,2024,3,7,11,4,133.33333333333331
10703,2015,2024,2,10,9,8,400
10704,2014,2024,1,7,9,6,600
10801,2016,2024,1,5,8,4,400
10802,2014,2024,4,33,11,29,725
10804,2014,2024,4,12,11,8,200
10805,2015,2024,4,6,9,2,50
10901,2018,2024,1,1,3,0,0
10903,2014,2023,1,1,4,0,0
11001,2014,2024,4,3,11,-1,-25
11002,2014,2024,2,2,10,0,0
11003,2016,2022,1,1,4,0,0
11004,2014,2024,1,2,9,1,100
11101,2014,2024,1,9,11,8,800
11102,2014,2024,8,24,11,16,200
11103,2014,2024,2,6,11,4,200
11201,2014,2024,9,96,11,87,966.6666666666666
11202,2014,2024,10,101,11,91,910
11203,2014,2024,2,9,11,7,350
11302,2014,2024,1,5,9,4,400
11303,2015,2024,1,4,8,3,300
11401,2014,2024,12,81,11,69,575
11402,2014,2024,2,2,10,0,0
11501,2014,2024,5,12,11,7,140
11502,2014,2024,5,10,11,5,100
11503,2014,2024,2,2,10,0,0
11504,2014,2024,3,2,9,-1,-33.33333333333333
11601,2015,2024,1,2,10,1,100
11602,2014,2024,4,6,11,2,50
11603,2015,2024,1,2,9,1,100
11701,2014,2024,1,5,9,4,400
11702,2015,2024,1,2,8,1,100
11703,2014,2024,1,16,11,15,1500
11801,2014,2024,3,15,11,12,400
11802,2014,2024,1,11,10,10,1000
11901,2015,2024,1,1,9,0,0
11902,2014,2024,1,6,11,5,500
11903,2014,2024,1,6,8,5,500
11904,2016,2024,1,3,9,2,200
12001,2014,2024,2,2,11,0,0
12002,2014,2024,1,7,11,6,600
12003,2014,2024,1,8,10,7,700
12101,2014,2024,10,26,11,16,160
12102,2014,2024,15,56,11,41,273.3333333333333
12103,2014,2024,23,74,11,51,221.73913043478262
12104,2014,2024,8,26,11,18,225
12201,2014,2024,3,20,11,17,566.6666666666667
12202,2014,2024,15,110,11,95,633.3333333333333
12203,2014,2024,25,156,11,131,524
12301,2014,2024,1,2,8,1,100
12302,2014,2024,3,6,10,3,100
12303,2014,2023,1,1,9,0,0
12401,2014,2024,2,14,11,12,600
12402,2014,2024,2,8,11,6,300
12403,2016,2024,2,6,7,4,200
12404,2014,2024,3,6,9,3,100
12501,2014,2024,1,2,9,1,100
12502,2015,2024,5,9,10,4,80
12503,2014,2024,1,9,10,8,800
12504,2014,2024,1,2,7,1,100
12601,2014,2023,1,4,7,3,300
12602,2014,2024,5,24,11,19,380
12701,2015,2024,2,1,8,-1,-50
12702,2016,2024,4,5,9,1,25
12703,2015,2024,1,4,8,3,300
12801,2014,2024,2,5,11,3,150
12802,2014,2024,1,8,10,7,700
20101,2019,2024,1,2,4,1,100
20102,2017,2024,1,1,3,0,0
20201,2014,2024,1,1,8,0,0
20202,2016,2019,1,1,4,0,0
20301,2016,2023,1,2,5,1,100
20302,2015,2024,1,1,8,0,0
20303,2017,2024,1,1,5,0,0
20401,2016,2024,1,1,3,0,0
20402,2016,2024,1,1,6,0,0
20403,2014,2024,1,1,4,0,0
20501,2018,2024,2,2,5,0,0
20502,2014,2024,2,8,7,6,300
20503,2019,2022,1,2,2,1,100
20504,2017,2024,1,3,8,2,200
20505,2016,2020,1,1,4,0,0
20601,2014,2024,2,1,7,-1,-50
20602,2014,2019,1,1,4,0,0
20603,2016,2024,1,2,3,1,100
20604,2014,2024,3,3,11,0,0
20605,2016,2024,1,2,9,1,100
20606,2017,2024,2,3,5,1,50
20607,2014,2024,1,2,9,1,100
20701,2014,2024,2,3,10,1,50
20702,2015,2024,1,1,8,0,0
20703,2014,2024,1,2,8,1,100
20801,2016,2023,1,4,6,3,300
20802,2014,2024,3,5,9,2,66.66666666666666
20803,2015,2024,1,2,8,1,100
20804,2016,2023,1,3,5,2,200
20901,2014,2024,3,2,9,-1,-33.33333333333333
20902,2015,2024,2,3,5,1,50
20903,2016,2024,2,2,8,0,0
20904,2014,2024,3,2,10,-1,-33.33333333333333
21001,2018,2023,1,2,5,1,100
21002,2020,2024,2,1,3,-1,-50
21003,2019,2024,1,1,4,0,0
21005,2018,2024,1,2,7,1,100
21101,2014,2024,1,2,9,1,100
21102,2015,2024,1,1,7,0,0
21103,2016,2023,2,2,7,0,0
21104,2016,2024,1,2,4,1,100
21105,2014,2024,2,6,10,4,200
21201,2017,2024,1,2,6,1,100
21202,2016,2024,2,1,8,-1,-50
21203,2019,2024,1,1,4,0,0
21204,2014,2024,1,3,9,2,200
21205,2014,2024,2,1,10,-1,-50
21301,2014,2024,1,1,5,0,0
21302,2014,2024,1,1,4,0,0
21303,2015,2024,1,1,8,0,0
21304,2015,2023,1,2,6,1,100
21305,2017,2023,2,2,7,0,0
21401,2014,2024,1,3,10,2,200
21402,2014,2024,1,4,11,3,300
21501,2016,2023,1,1,3,0,0
21502,2015,2023,1,2,4,1,100
21601,2014,2019,1,1,4,0,0
21602,2018,2022,1,1,2,0,0
21603,2017,2024,3,1,6,-2,-66.66666666666666
21703,2020,2024,2,1,3,-1,-50
21704,2018,2024,1,1,4,0,0
30101,2014,2024,9,5,11,-4,-44.44444444444444
30102,2014,2024,3,7,11,4,133.33333333333331
30103,2014,2024,4,9,10,5,125
30201,2014,2024,4,1,10,-3,-75
30202,2014,2024,2,3,11,1,50
30203,2014,2024,1,2,5,1,100
30204,2014,2024,2,3,10,1,50
30301,2021,2024,1,2,2,1,100
30302,2014,2024,7,5,11,-2,-28.57142857142857
30303,2015,2024,1,2,7,1,100
30304,2014,2024,4,2,11,-2,-50
30305,2014,2023,1,2,6,1,100
30401,2014,2024,4,3,11,-1,-25
30402,2014,2024,13,12,11,-1,-7.6923076923076925
30403,2014,2024,7,4,10,-3,-42.857142857142854
30404,2014,2024,13,14,11,1,7.6923076923076925
30501,2014,2024,3,8,11,5,166.66666666666669
30502,2014,2024,5,11,11,6,120
30503,2014,2024,5,6,11,1,20
30504,2014,2023,6,1,9,-5,-83.33333333333334
30601,2014,2024,5,6,8,1,20
30602,2014,2024,1,26,11,25,2500
30603,2014,2024,1,3,8,2,200
30604,2015,2024,1,4,6,3,300
30605,2014,2024,1,21,11,20,2000
30701,2014,2024,2,2,11,0,0
30702,2014,2024,4,4,11,0,0
30703,2014,2024,4,10,10,6,150
30801,2014,2024,1,2,8,1,100
30803,2014,2024,5,9,11,4,80
30804,2019,2024,1,1,4,0,0
30805,2014,2024,2,1,10,-1,-50
30901,2015,2024,2,2,7,0,0
30902,2014,2024,2,7,10,5,250
30903,2015,2024,3,6,9,3,100
30904,2014,2024,4,19,11,15,375
30905,2014,2024,2,4,9,2,100
30907,2014,2024,4,10,11,6,150
30908,2015,2024,1,5,8,4,400
30909,2017,2024,1,1,6,0,0
30910,2014,2024,2,6,11,4,200
31001,2014,2024,4,2,9,-2,-50
31002,2014,2024,20,16,11,-4,-20
31003,2014,2024,3,4,11,1,33.33333333333333
31004,2014,2024,3,3,11,0,0
31101,2017,2024,1,1,4,0,0
31103,2014,2024,1,5,11,4,400
31104,2017,2024,2,3,7,1,50
31105,2016,2023,1,1,5,0,0
31106,2014,2024,4,5,11,1,25
31201,2017,2024,3,5,6,2,66.66666666666666
31202,2014,2024,3,9,11,6,200
31203,2015,2024,1,6,6,5,500
31301,2014,2024,10,6,11,-4,-40
31302,2014,2024,10,1,8,-9,-90
31303,2014,2024,2,4,10,2,100
31304,2014,2024,6,5,10,-1,-16.666666666666664
31305,2014,2024,8,1,11,-7,-87.5
31401,2014,2024,10,7,11,-3,-30
31402,2014,2023,3,4,8,1,33.33333333333333
31403,2014,2024,5,5,11,0,0
31501,2018,2024,1,6,6,5,500
31502,2021,2024,1,1,4,0,0
31503,2015,2024,2,1,8,-1,-50
31601,2015,2023,1,1,6,0,0
31602,2014,2024,6,4,11,-2,-33.33333333333333
31603,2014,2024,1,2,10,1,100
31605,2014,2024,2,2,11,0,0
31606,2014,2024,27,70,11,43,159.25925925925927
31607,2014,2024,4,5,11,1,25
31608,2014,2024,5,8,11,3,60
31701,2014,2024,2,6,11,4,200
31801,2014,2024,1,1,8,0,0
31802,2015,2024,1,14,9,13,1300
31901,2014,2024,3,6,10,3,100
31902,2015,2024,2,5,10,3,150
31903,2014,2024,2,8,11,6,300
31905,2014,2024,2,14,11,12,600
40102,2017,2024,1,2,5,1,100
40105,2020,2022,1,1,2,0,0
40106,2021,2024,1,1,4,0,0
40202,2016,2023,1,1,4,0,0
40203,2016,2023,1,1,2,0,0
40204,2016,2020,2,1,4,-1,-50
40301,2019,2024,2,1,4,-1,-50
40302,2016,2023,1,2,3,1,100
40303,2014,2023,1,1,5,0,0
40304,2017,2024,1,1,6,0,0
40401,2016,2017,1,2,2,1,100
40403,2020,2022,1,2,2,1,100
40503,2017,2024,1,1,2,0,0
40602,2019,2023,1,1,3,0,0
40701,2021,2024,3,1,3,-2,-66.66666666666666
40702,2022,2024,1,1,2,0,0
50101,2018,2020,2,2,3,0,0
50102,2019,2024,2,1,5,-1,-50
50201,2014,2024,1,2,5,1,100
50301,2020,2024,2,1,2,-1,-50
50302,2015,2024,1,1,8,0,0
50401,2019,2022,1,1,3,0,0
50402,2021,2023,1,1,2,0,0
50403,2018,2024,1,1,4,0,0
50501,2014,2024,1,1,5,0,0
50502,2015,2024,2,4,6,2,100
50503,2020,2024,1,1,5,0,0
50601,2016,2023,2,1,2,-1,-50
50602,2015,2024,2,1,3,-1,-50
50603,2015,2024,1,1,5,0,0
50604,2015,2022,1,1,4,0,0
50605,2021,2024,1,1,3,0,0
50607,2015,2024,1,1,4,0,0
50701,2014,2024,2,2,5,0,0
50702,2019,2024,1,1,4,0,0
50703,2020,2024,1,1,2,0,0
50704,2015,2024,2,1,4,-1,-50
50705,2018,2024,1,2,4,1,100
50901,2015,2023,2,1,3,-1,-50
50902,2015,2023,2,1,4,-1,-50
51001,2021,2023,1,1,2,0,0
51103,2014,2022,1,1,3,0,0
60101,2018,2024,1,1,2,0,0
60102,2015,2024,1,2,9,1,100
60103,2016,2024,1,2,4,1,100
60104,2020,2024,1,2,3,1,100
60105,2016,2024,1,1,6,0,0
60106,2019,2024,1,1,2,0,0
60201,2017,2024,3,1,8,-2,-66.66666666666666
60203,2019,2023,1,1,3,0,0
60302,2016,2024,2,1,7,-1,-50
60401,2017,2024,1,1,3,0,0
60402,2020,2024,2,4,5,2,100
60403,2017,2023,1,1,4,0,0
70101,2019,2024,1,4,5,3,300
70102,2017,2024,1,4,7,3,300
70103,2020,2024,2,1,5,-1,-50
70104,2015,2023,1,6,5,5,500
70201,2014,2024,1,4,7,3,300
70202,2014,2024,2,1,8,-1,-50
70205,2021,2024,2,1,3,-1,-50
80101,2015,2024,2,10,9,8,400
80103,2014,2024,1,9,9,8,800
80104,2015,2024,1,5,7,4,400
80105,2014,2024,1,11,11,10,1000
80106,2014,2024,1,3,8,2,200
80107,2016,2024,1,7,9,6,600
80109,2014,2024,2,3,8,1,50
NA,2015,2024,1,5,9,4,400
